b, b, b, b, b, b, b, b, a, b, b, b, b, b, a, a, a, a, b, a, a, a, a, b, b, b, a, a, b, b, b, b, b, a, b, b, a, a, a, a, b, b, b, b, b, b, a, b, a, b, b, b, b, a, a, b, b, a, b, b, a, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, b, a, a, a, a, a, a, b, b, b, a, a, a, b, b, b, b, a, b, a, b, a, a, a, a, a, a, b, b, b, b, a, b, a, a, a, a, b, a, a, a, b, b, b, a, b, b, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, a, a, a, a, b, a, a, a, a, a, b, a, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, a, b, a, a, a, negative
b, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, a, b, b, b, b, b, b, b, b, b, b, a, b, b, b, b, b, b, a, a, b, b, b, b, b, b, b, b, b, b, a, b, b, b, b, a, b, b, a, b, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, b, b, b, b, b, b, b, b, b, b, b, b, a, b, a, b, b, b, b, a, a, b, b, b, a, b, b, b, b, b, b, b, b, a, b, a, a, b, b, a, a, a, a, b, b, b, b, b, b, b, b, b, b, a, a, a, a, a, a, b, b, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, b, b, b, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, a, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, b, a, a, negative
a, a, b, b, b, b, b, b, a, b, b, a, a, b, a, a, a, a, b, a, b, b, a, b, b, b, a, a, a, b, b, b, b, a, b, b, a, a, b, b, a, a, b, b, b, b, a, a, b, b, b, b, a, a, b, a, a, a, b, b, a, a, a, a, a, a, a, a, a, b, b, b, a, a, a, a, a, a, a, b, b, b, a, a, a, a, b, b, b, a, a, a, b, b, b, b, a, a, a, a, a, a, a, a, a, a, b, b, b, b, a, b, a, a, a, a, a, a, a, a, b, b, b, a, b, b, b, b, b, b, a, a, a, a, a, a, a, a, b, b, a, a, a, a, b, b, a, a, a, a, b, a, a, a, a, a, b, a, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, a, b, b, b, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, negative
b, a, b, a, a, a, a, a, b, a, a, b, b, b, a, a, a, a, b, a, a, a, a, b, b, b, a, a, a, b, b, b, b, a, a, a, a, a, b, b, a, b, b, b, b, b, a, a, b, b, b, b, a, a, b, a, a, a, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, b, b, b, b, a, b, b, b, a, b, a, b, b, b, b, a, a, a, a, a, a, a, a, a, a, b, b, b, b, b, a, a, a, b, b, a, a, a, a, b, b, b, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, a, b, b, b, a, a, a, a, a, a, a, a, b, a, a, a, a, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, a, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, negative
b, a, b, b, b, b, a, a, b, b, b, b, b, b, b, b, b, a, b, b, b, b, a, b, b, b, a, b, b, b, b, b, b, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, b, b, b, b, a, a, b, b, b, a, a, a, a, a, b, b, b, b, a, b, a, a, a, a, a, b, b, b, a, a, a, a, b, b, b, b, b, b, a, a, a, a, a, a, b, a, a, a, b, b, a, a, b, b, b, b, b, b, b, a, a, b, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, b, b, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, b, a, a, negative
b, a, b, b, b, a, a, a, a, b, a, b, b, b, a, b, b, a, b, a, a, a, a, b, b, b, a, a, a, b, b, b, b, a, a, a, a, a, b, b, a, b, b, b, b, b, a, a, b, b, b, b, a, b, b, a, a, a, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, b, b, b, a, a, a, a, a, b, a, b, b, b, b, a, a, a, a, b, a, a, a, a, a, b, b, b, b, a, b, a, a, b, b, a, a, a, a, a, a, a, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, a, b, b, b, a, a, a, a, a, b, a, a, a, a, a, b, a, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, negative
b, a, b, a, a, b, b, b, a, b, a, b, b, b, b, b, b, b, a, a, a, a, a, b, b, b, a, b, b, b, b, b, b, a, a, b, b, b, b, b, a, b, b, b, b, b, a, b, b, b, b, b, b, b, b, a, a, b, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, b, b, b, a, a, b, a, a, a, a, a, a, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, b, b, b, b, b, a, a, a, a, a, a, a, b, a, a, a, a, a, a, a, a, a, a, a, a, b, a, a, a, a, a, b, a, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, positive
b, a, b, b, b, b, b, b, a, b, b, b, b, b, a, b, b, a, a, a, a, a, a, b, b, b, a, a, b, b, b, b, b, a, b, b, a, a, b, b, b, b, b, b, b, b, a, a, b, b, b, b, a, a, b, b, b, a, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, b, a, a, a, a, b, b, b, a, b, b, b, b, b, b, a, a, a, b, a, a, a, a, a, a, b, b, b, b, a, b, b, b, b, b, a, a, a, a, b, b, b, b, b, b, b, b, b, b, a, a, a, a, a, a, a, b, b, b, a, a, b, b, b, b, a, a, a, a, b, a, a, a, a, a, b, b, b, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, a, b, b, b, b, b, b, b, a, a, a, a, a, a, a, b, a, a, a, negative
b, a, b, b, b, b, b, b, a, b, a, a, a, a, b, a, a, a, a, a, a, a, a, b, b, b, a, a, a, a, a, a, a, a, b, a, b, b, a, a, a, a, b, b, b, b, a, a, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, a, a, a, a, a, a, a, a, a, a, a, a, b, b, b, b, a, a, a, b, a, a, a, a, a, a, a, a, a, a, b, a, a, a, a, a, a, a, b, b, a, a, a, a, b, b, b, b, b, b, a, a, a, a, a, a, a, a, a, a, b, b, a, a, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, negative
b, b, b, b, b, b, a, a, b, b, b, b, b, b, b, b, b, b, a, a, a, a, a, b, b, b, a, b, b, b, b, b, b, a, a, b, b, b, b, b, b, b, b, b, b, b, a, b, b, b, b, b, a, b, b, b, b, b, b, b, a, a, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, b, a, a, a, a, a, a, a, a, a, a, b, b, b, b, a, a, a, b, a, a, b, b, b, b, b, b, b, b, b, a, b, b, b, b, b, a, a, a, b, b, b, b, b, b, b, b, b, b, a, a, a, a, a, a, b, b, a, a, b, b, b, b, b, b, a, b, b, b, a, a, a, b, b, b, b, b, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, b, b, b, b, b, b, b, b, b, b, a, a, a, a, b, a, a, a, positive
b, b, b, b, b, b, a, a, b, b, b, b, b, b, a, b, b, b, b, b, b, b, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, b, b, b, a, a, a, b, b, b, b, b, b, b, b, b, b, a, a, a, b, b, b, b, b, a, b, b, b, b, b, b, a, b, b, a, b, b, b, b, b, b, b, b, b, b, b, a, a, a, a, b, a, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, b, b, b, a, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, b, b, b, b, b, b, b, b, positive
b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, a, b, b, a, a, a, a, a, b, b, b, a, a, a, a, a, b, b, b, b, b, b, b, b, a, b, b, b, b, b, b, b, b, b, b, b, a, a, b, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, b, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, a, b, b, a, a, negative
b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, b, b, b, b, a, a, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, negative
b, a, b, b, b, b, b, b, b, b, b, b, b, b, a, b, b, b, b, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, b, b, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, b, b, a, a, a, a, a, b, b, b, a, a, a, a, a, b, b, b, b, b, b, b, b, a, b, b, b, b, b, b, b, b, b, b, a, a, a, b, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, b, b, b, b, b, b, a, b, b, b, b, b, b, b, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, b, b, b, b, b, b, b, b, b, a, a, a, b, b, b, b, b, b, a, a, negative
b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, b, b, b, b, b, b, b, a, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, a, b, b, b, a, b, a, b, b, b, b, a, b, a, b, b, a, b, b, b, b, b, b, b, b, a, b, b, b, b, b, b, a, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, a, a, a, b, b, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, b, b, b, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, negative
b, b, b, b, b, a, b, b, b, b, b, b, b, b, a, b, b, b, a, b, b, b, a, b, b, b, a, b, b, b, b, b, b, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, b, b, b, a, a, a, b, b, b, b, b, a, a, b, b, b, b, b, b, b, b, b, b, a, a, a, b, b, b, b, b, a, b, b, b, a, a, a, a, a, b, b, b, b, a, a, b, b, a, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, a, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, a, b, b, b, b, b, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, b, b, b, positive
a, a, b, a, a, b, a, a, a, b, b, a, a, b, a, b, b, a, a, a, a, a, a, b, b, b, a, a, b, b, b, b, b, a, a, b, b, b, b, b, a, a, b, b, b, b, a, b, b, b, b, b, b, b, b, a, a, b, b, b, a, a, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, b, a, a, a, b, b, b, b, a, a, a, b, a, a, a, a, a, a, b, b, b, b, a, a, a, a, a, a, b, a, a, a, b, b, b, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, a, a, b, b, a, a, b, b, a, a, a, a, b, a, a, a, a, a, a, b, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, a, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, negative
b, a, b, a, a, b, b, b, b, b, b, b, b, b, a, b, b, b, a, a, a, a, a, b, b, b, a, b, b, b, b, b, b, a, b, b, b, b, b, b, b, b, b, b, b, b, a, b, b, b, b, b, b, b, b, b, b, b, b, b, a, b, a, a, a, a, a, a, a, b, b, b, a, a, a, a, a, a, a, b, a, a, a, a, a, a, b, b, b, a, a, a, b, b, b, b, b, a, a, b, a, b, a, a, a, a, b, b, b, b, b, a, a, a, b, b, b, a, a, a, a, a, a, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, b, b, a, a, b, b, b, b, a, b, b, b, a, a, a, a, b, b, b, b, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, b, b, b, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, positive
b, a, b, b, b, b, a, a, b, b, b, b, b, a, a, a, a, a, a, a, b, b, a, b, b, b, a, b, b, b, b, b, b, a, b, b, a, a, b, b, b, b, b, b, b, b, a, a, b, b, b, b, b, b, b, b, b, a, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, a, a, a, a, a, a, b, b, b, a, b, a, b, b, b, b, a, a, a, b, a, a, a, a, a, a, b, b, b, b, a, b, a, a, a, a, b, a, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, a, a, a, a, a, b, b, b, a, a, a, b, b, a, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, a, a, b, b, b, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, positive
b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, b, a, a, a, b, b, b, b, b, b, b, b, b, b, b, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, b, b, b, b, a, a, a, a, a, a, a, b, b, b, a, a, a, a, a, b, b, b, b, b, a, a, a, a, b, b, b, a, b, b, b, b, b, b, a, b, a, b, a, a, b, b, b, b, b, b, b, b, a, b, b, b, b, b, b, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, b, b, b, b, b, b, a, a, a, a, b, a, a, b, a, a, b, b, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, a, b, a, a, a, negative
b, a, b, b, b, b, b, b, a, b, b, b, b, a, a, a, a, a, a, a, a, a, a, b, b, b, a, a, a, b, b, b, b, a, b, b, b, b, b, b, a, b, b, b, b, b, a, a, b, b, b, b, b, b, b, a, a, a, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, a, a, a, a, a, a, b, b, b, a, b, a, b, b, b, b, a, a, a, b, b, a, a, a, a, a, b, b, b, b, b, a, a, a, b, b, a, a, b, b, a, a, a, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, a, a, b, b, b, b, b, b, a, b, b, b, b, a, a, b, a, a, b, b, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, negative
b, b, b, b, b, b, b, b, a, b, b, b, b, b, b, b, b, b, b, a, b, b, a, b, b, b, a, a, b, b, b, b, b, a, b, b, b, b, b, b, b, b, b, b, b, b, a, b, b, b, b, b, b, b, b, b, b, b, b, b, a, b, a, a, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, b, a, a, a, a, a, a, a, a, b, a, b, b, b, b, b, a, b, b, b, a, a, a, a, a, b, b, b, b, b, a, b, b, b, b, b, a, b, b, a, a, a, b, b, b, b, b, b, b, a, a, a, a, a, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, a, b, b, b, b, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, b, b, b, b, b, b, b, a, a, a, a, a, a, a, b, a, b, b, positive
b, a, b, a, a, b, a, a, a, a, b, b, b, b, a, a, a, b, b, a, a, a, a, b, b, b, a, b, b, b, b, b, b, a, b, b, a, a, b, b, b, a, b, b, b, b, a, b, b, a, a, a, b, a, b, b, b, a, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, a, a, b, b, b, b, b, b, b, a, b, b, b, b, b, b, a, a, a, b, a, a, b, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, a, a, b, b, b, b, b, b, b, b, b, b, a, a, a, a, a, a, b, b, b, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, a, a, b, b, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, a, b, b, b, b, b, b, b, a, a, a, a, a, a, a, b, a, a, a, positive
b, a, b, a, a, b, a, a, a, b, b, b, b, b, a, b, b, b, b, a, a, a, a, b, b, b, a, b, b, b, b, b, b, a, a, b, a, a, b, b, a, a, b, b, b, b, a, a, b, b, b, b, a, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, b, a, a, a, a, a, a, a, a, a, a, b, b, b, b, a, a, a, a, a, a, a, a, a, a, b, b, b, b, b, a, b, b, a, a, a, a, a, a, b, b, b, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, b, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, a, a, b, b, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, a, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, negative
b, b, a, b, b, a, a, a, b, a, b, b, b, a, b, a, a, b, a, a, b, b, a, a, a, a, a, a, a, b, b, b, b, a, b, b, b, b, b, b, b, b, b, b, b, b, a, b, b, b, b, b, b, a, a, b, b, b, b, b, a, b, a, a, a, a, a, a, a, a, a, a, b, b, b, b, b, b, b, b, a, a, a, a, a, b, a, a, a, a, a, a, b, b, b, b, a, b, a, a, a, a, a, a, a, a, b, b, b, b, a, a, a, a, b, b, a, a, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, negative
a, a, b, a, a, b, a, a, a, a, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, a, a, a, a, a, a, a, b, b, b, b, a, a, a, b, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, a, a, a, a, a, a, a, a, a, a, a, a, b, b, b, b, a, a, a, a, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, b, b, b, b, a, a, a, a, a, a, a, a, b, b, b, b, a, a, b, a, a, b, b, b, a, a, a, a, a, a, a, a, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, a, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, negative
b, b, b, a, a, b, b, b, a, b, b, b, b, b, a, b, b, a, b, a, b, b, a, b, b, b, a, a, b, b, b, b, b, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, b, a, a, a, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, b, a, a, a, a, b, b, b, a, b, a, b, b, b, b, a, a, a, b, a, a, a, a, a, a, b, b, b, b, a, a, a, a, b, b, a, a, a, a, b, b, b, b, b, b, b, b, b, b, a, a, a, a, a, a, a, b, a, a, b, b, b, b, b, a, a, a, a, a, b, a, a, b, b, b, a, b, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, negative
b, b, b, b, b, b, b, b, a, b, b, a, a, b, a, b, b, b, a, a, a, a, a, b, b, b, a, b, b, b, b, b, b, a, b, b, a, a, b, b, b, b, b, b, b, b, a, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, a, a, b, b, b, a, b, b, b, a, b, a, b, b, b, b, a, a, a, b, a, b, a, a, a, a, b, b, b, b, b, a, a, a, a, a, b, a, a, a, b, b, b, b, b, b, b, b, b, b, a, a, a, a, a, a, b, a, b, b, a, a, a, a, b, b, b, a, a, a, b, a, a, a, a, a, a, b, b, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, b, b, b, b, b, b, b, a, a, a, a, a, a, a, b, a, a, a, positive
a, a, b, a, a, b, a, a, a, b, b, b, b, a, a, a, a, a, a, a, a, a, a, b, b, b, a, a, a, b, b, b, b, a, b, b, b, b, b, b, b, b, b, b, b, b, a, a, b, a, a, a, a, a, b, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, b, a, a, a, a, b, b, b, a, b, b, b, b, b, b, a, a, a, b, a, a, a, a, a, a, b, b, b, b, b, a, a, a, a, a, a, a, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, a, a, a, b, b, a, a, a, a, a, a, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, a, a, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, negative
b, a, b, a, a, b, b, b, b, b, b, b, b, b, a, a, a, b, a, a, a, a, a, b, b, b, a, a, a, b, b, b, b, a, a, b, a, a, b, b, b, b, b, b, b, b, a, b, b, b, b, b, a, a, b, b, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, a, b, a, a, a, a, a, a, b, b, b, a, a, b, b, b, b, b, b, a, a, b, a, b, a, a, a, a, b, b, b, b, a, a, a, a, b, b, a, a, a, a, b, b, b, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, b, b, a, a, a, a, b, b, a, a, a, a, a, a, a, a, a, a, b, b, a, a, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, b, a, a, b, b, b, b, b, b, b, a, a, a, a, a, a, a, a, a, a, a, positive
